timestamp,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,ba_x,ba_y,ba_z,bg_x,bg_y,bg_z
0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000278e-02,2.000000000000000000e+00,9.999500004166652634e-01,0.000000000000000000e+00,9.999833334166664464e-03,0.000000000000000000e+00,1.499999999999999944e-02,-0.000000000000000000e+00,8.000000000000000167e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000278e-02,7.687487837313931307e-04,4.997315283671464881e-02,2.000423895214319181e+00,9.999502921626514107e-01,3.448047867268720580e-04,9.964128914763760447e-03,1.022176955769822843e-04,1.590327214792006810e-02,-4.591675881915025740e-04,9.100255700810864004e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,1.562263180023568685e-03,4.996719233979511621e-02,2.000897293917268449e+00,9.999490323820958704e-01,5.422148137756993428e-04,1.008049418285949031e-02,1.492589537983287154e-04,1.561603657435398085e-02,4.527134397520031365e-04,9.359725263655834307e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000222e-01,2.414941325770326823e-03,4.996763005458356582e-02,2.001430569113945346e+00,9.999469896372428224e-01,8.279660395940321212e-04,1.025462467894687479e-02,4.184021353095795231e-04,1.816142916337786309e-02,3.129568076632234411e-04,1.164118755919023827e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000111e-01,3.310710284619776227e-03,4.989628412280203845e-02,2.002030396288709380e+00,9.999457937563133170e-01,1.386840515693335552e-03,1.030320566097214958e-02,5.746090396478239918e-04,1.843664201832168059e-02,-2.478893396510137900e-03,1.319272724538493417e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,4.249322515997651546e-03,4.980372238105689603e-02,2.002714512030793426e+00,9.999433450807970747e-01,1.676090361387323801e-03,1.048036048727279089e-02,8.120306540919930687e-04,2.048115390493544796e-02,-1.386695376785811607e-03,1.399750939125442295e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000444e-01,5.253054660781223198e-03,4.968274635917420412e-02,2.003371755211655003e+00,9.999430008489759159e-01,1.814609791414569526e-03,1.047684939403272820e-02,9.684375171299463387e-04,2.062577736533943717e-02,-2.572635300007739770e-03,1.312211103189147438e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-01,6.388829960783592825e-03,4.952845229804361121e-02,2.004133783421979231e+00,9.999437973451456019e-01,2.138436004875851962e-03,1.032067199857441241e-02,1.145849868552617848e-03,2.414426254729229102e-02,-4.098559163834565588e-03,1.699603003517416444e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000222e-01,7.608336844359965892e-03,4.924912622255529782e-02,2.005024378351681236e+00,9.999424288383691461e-01,2.596369247495089374e-03,1.032347953434848385e-02,1.350424325075992192e-03,2.423750214266341685e-02,-5.970333850877538109e-03,1.867594785148455477e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000111e-01,8.802391661196218992e-03,4.895833590242981703e-02,2.006013819246713403e+00,9.999415474920613223e-01,2.916445508736914289e-03,1.030251353755264228e-02,1.501385887998371929e-03,2.340680888354419731e-02,-6.221969223073909108e-03,2.073552042472821821e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
