timestamp,px,py,pz,vx,vy,vz,qw,qx,qy,qz,bax,bay,baz,bgx,bgy,bgz
0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,-0.000000000000000000e+00,1.256637061435917246e+00,2.500000000000000000e-01,7.071067811865474617e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.071067811865474617e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000278e-02,3.999506871989232160e+00,6.282872467221194135e-02,2.012497540962393749e+00,-1.976899281021964050e-02,1.256470848034377807e+00,2.498862954352341070e-01,7.015349136775793637e-01,5.139218698692508435e-06,-8.191588477435631453e-07,7.126350853447426248e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,3.998022221727073777e+00,1.256398566038271769e-01,2.024985081636612616e+00,-3.963236612358508187e-02,1.255907286483145757e+00,2.495556143081705536e-01,6.959227317267983048e-01,-4.933750571652839253e-06,-1.233610725108614587e-06,7.181166697968004442e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000222e-01,3.995532495570086606e+00,1.884273752487077846e-01,2.037494000979328757e+00,-5.945407193414972008e-02,1.255342571913925509e+00,2.495880916008960670e-01,6.902612699321680756e-01,-1.461386351682013729e-05,4.091021517869997180e-05,7.235602098957762962e-01,-3.246343244556709577e-04,4.338144788748949559e-04,-1.509676613926431120e-03,-6.831831848026932979e-06,-7.739564950417490360e-06,-4.234829905459686354e-05
2.000000000000000111e-01,3.991250993371048494e+00,2.511380779715771672e-01,2.050014753074877571e+00,-8.353380829712438171e-02,1.254198385530340909e+00,2.494352071139041560e-01,6.846262002675002067e-01,-6.980740094354326308e-05,6.792829251422663082e-05,7.288943383097158391e-01,-4.716174456042049237e-04,-2.630232686550052195e-03,-2.056764390853739986e-03,-6.522293992449036768e-04,-3.031831525247566058e-04,-1.316927589604729044e-03
2.500000000000000000e-01,3.986574182315968606e+00,3.138158272506992308e-01,2.062471072634404656e+00,-1.035286900427694473e-01,1.252958499639500012e+00,2.487816881330157381e-01,6.788528160988206439e-01,-7.311761706478261047e-05,9.327679431433317256e-05,7.342743629107272296e-01,-4.716174456042049237e-04,-2.630232686550052195e-03,-2.056764390853739986e-03,-6.522293992449036768e-04,-3.031831525247566058e-04,-1.316927589604729044e-03
3.000000000000000444e-01,3.980904591603663611e+00,3.764218071988091330e-01,2.074886056597982975e+00,-1.233160728919470983e-01,1.251291410849974639e+00,2.478520169598298628e-01,6.730414458638066533e-01,-7.440738914848964451e-05,1.023917325046082690e-04,7.396047566971362119e-01,-4.716174456042049237e-04,-2.630232686550052195e-03,-2.056764390853739986e-03,-6.522293992449036768e-04,-3.031831525247566058e-04,-1.316927589604729044e-03
3.500000000000000333e-01,3.973646635274493466e+00,4.392921237112234478e-01,2.087423431890309544e+00,-1.467960171483610465e-01,1.251664720195397651e+00,2.476821192094071644e-01,6.672176000183481781e-01,-3.797818747730020159e-04,5.793883084770523599e-06,7.448627591428597094e-01,-4.234024418380953440e-03,-8.043655877738201815e-03,-2.906516556270128965e-03,-4.513701011976039906e-04,2.108033616691074984e-05,-9.990708807246712671e-04
4.000000000000000222e-01,3.965802339283492461e+00,5.018276919639756972e-01,2.099782459132739199e+00,-1.670431696315263781e-01,1.249668844705045911e+00,2.466562260158099984e-01,6.613262637530035182e-01,-3.646513045571950717e-04,2.566755864073881136e-05,7.500982863872542872e-01,-4.234024418380953440e-03,-8.043655877738201815e-03,-2.906516556270128965e-03,-4.513701011976039906e-04,2.108033616691074984e-05,-9.990708807246712671e-04
4.500000000000000111e-01,3.960723801358997154e+00,5.669411567805273666e-01,2.107133856854396026e+00,-1.750241256376224575e-01,1.257308563055332229e+00,2.310415556708444451e-01,6.553363615400388253e-01,-3.652935665086483015e-04,2.554145028318459084e-04,7.553370469978983870e-01,-1.766278081228819449e-02,5.173771565968477565e-03,1.262629996391471075e-02,1.473820344723676505e-03,-1.049820605650323107e-04,-3.606440599276315674e-04
